date,QTY
2013-05-31,24
2013-06-30,16
2013-07-31,72
2013-08-31,68
2013-09-30,188
2013-10-31,184
2013-11-30,304
2013-12-31,272
2014-01-31,232
2014-02-28,296
2014-03-31,532
2014-04-30,408
2014-05-31,472
2014-06-30,552
2014-07-31,504
2014-08-31,612
2014-09-30,608
2014-10-31,564
2014-11-30,344
2014-12-31,712
2015-01-31,468
2015-02-28,516
2015-03-31,552
2015-04-30,1288
2015-05-31,528
2015-06-30,468
2015-07-31,552
2015-08-31,724
2015-09-30,916
2015-10-31,660
2015-11-30,572
2015-12-31,896
2016-01-31,772
2016-02-29,796
2016-03-31,864
2016-04-30,1716
2016-05-31,1232
2016-06-30,1536
2016-07-31,972
2016-08-31,1688
2016-09-30,1420
2016-10-31,1280
2016-11-30,1600
2016-12-31,1596
2017-01-31,1408
2017-02-28,1504
2017-03-31,2028
2017-04-30,2220
2017-05-31,1392
2017-06-30,1860
2017-07-31,1576
2017-08-31,1956
2017-09-30,1392
2017-10-31,1880
2017-11-30,2020
2017-12-31,1356
2018-01-31,2252
2018-02-28,1196
2018-03-31,2580
2018-04-30,1368
2018-05-31,2320
2018-06-30,2220
2018-07-31,2580
2018-08-31,2508
2018-09-30,1876
2018-10-31,5092
2018-11-30,2724
2018-12-31,1232
